id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
62471,60395,30021,obrigatoria,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:28,,,,,
62472,60395,30022,obrigatoria,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:28,,,,,
62473,60395,30028,opcional,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:28,,,,,
62474,60396,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62475,60396,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62476,60396,30015,opcional,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62477,60396,30016,opcional,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62478,60396,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62479,60396,30036,opcional,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:21,2026-03-05 20:45:21,,,,,
62480,60396,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62481,60396,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62482,60396,30028,opcional,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62483,60397,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62484,60397,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62485,60397,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62486,60397,30016,opcional,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62487,60397,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:21,2026-03-07 00:16:29,,,,,
62488,60397,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:22,2026-03-05 20:45:22,,,,,
62489,60397,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:29,,,,,
62490,60397,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:29,,,,,
62491,60397,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:29,,,,,
62492,60398,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62493,60398,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:29,,,,,
62494,60398,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62495,60398,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62496,60398,30035,opcional,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62497,60398,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:22,2026-03-05 20:45:22,,,,,
62498,60398,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62499,60398,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:29,,,,,
62500,60398,30028,opcional,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62501,60399,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62502,60399,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62503,60399,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62504,60399,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:22,2026-03-07 00:16:30,,,,,
62505,60399,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:23,2026-03-07 00:16:30,,,,,
62506,60399,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:23,2026-03-05 20:45:23,,,,,
